Time,Humidifier power [kW],HV light Power [kW]
2021-01-31,10.80330704250549,10.757728434882939
2021-02-28,26.298170170676013,9.256683526539364
2021-03-31,27.153653794062432,8.21207072079996
2021-04-30,49.100577198236806,7.073835914001398
2021-05-31,5.281307028108826,6.4987419000047595
2021-06-30,2.442134845782253e-06,7.4853512345843205
2021-07-31,2.7688962302765554e-06,6.798490530393197
2021-08-31,3.026086716171032e-06,4.616762125332444
2021-09-30,2.9727827646501536e-06,7.14829944500101
2021-10-31,3.2121698153429495e-06,6.916602385293391
2021-11-30,14.609750034153468,6.2375010146881396
2021-12-31,39.34040776621468,4.992764101285922
