Time,Power[kW],PV panels power [kW],Battery system power
2021-01-31,59.94856790044687,2.4829276065584507,0.0030824955604824046
2021-02-28,84.6189786118317,8.68047065384034,3.4432683681629933e-07
2021-03-31,79.67258701427762,13.186234198581998,2.6418863908742674e-07
2021-04-30,77.71738464402769,19.368809867412907,2.281474614386301e-07
2021-05-31,35.88579507592825,17.05725037539758,0.0
2021-06-30,39.46587407454681,15.936327013565096,0.0
2021-07-31,34.31334224855379,14.541310890974438,0.0
2021-08-31,21.737010011275096,13.664661069341339,1.4703895357898904
2021-09-30,31.11732564508234,13.308541508901502,5.376130135784754
2021-10-31,26.181395194190422,6.973409106123608,0.21599113481827528
2021-11-30,52.161653689204066,3.045174648351312,2.8616317421613945e-07
2021-12-31,94.630744521294,1.410979107525313,2.9190411877324147e-07
