DateTime,Humidifier power [kW],HV light Power [kW]
2017-01-31,48.304185507155516,8.959105748904149
2017-02-28,40.9329526831544,8.28075426967743
2017-03-31,35.40075440136586,7.531092404196665
2017-04-30,33.623541316553705,7.252732035071361
2017-05-31,8.848586429780422,7.204843413770699
2017-06-30,3.555084372130509e-06,7.211903689734737
2017-07-31,3.622814347933841e-06,5.767703151767927
2017-08-31,2.815107973214182e-06,4.037622150366691
2017-09-30,0.0035364249039765527,7.565308931088135
2017-10-31,0.8573360009263099,7.54135840095529
2017-11-30,6.559722298221291,8.137670673914789
2017-12-31,2.156832673870751e-06,6.8619856216835196
