DateTime,HVAC Actual [kW],Chiller Power [kW]
2017-05-27,0.54635,0.14345
2017-05-28,0.547060098,0.143422082
2017-05-29,2.965805556,2.067083333
2017-05-30,2.922909722,0.820306944
2017-05-31,2.824223611,1.244807639
2017-06-01,2.687861111,1.331806944
2017-06-02,2.953245139,1.795230556
2017-06-03,0.544631944,0.143295139
2017-06-04,0.546947222,0.143188194
2017-06-05,2.860152083,0.789527778
2017-06-06,3.075140278,0.143200694
2017-06-07,2.208469444,0.143642361
2017-06-08,2.308597917,0.896717361
2017-06-09,2.22693125,0.252972222
2017-06-10,0.546422222,0.143913889
2017-06-11,0.543547222,0.14281875
2017-06-12,2.694928472,0.143083333
2017-06-13,2.259455556,0.589161111
2017-06-14,2.368847222,1.483934028
2017-06-15,3.623334028,2.008059028
2017-06-16,3.406422917,0.260459028
2017-06-17,0.546263889,0.143104167
2017-06-18,0.547354167,0.143459028
2017-06-19,3.557009722,2.964180556
2017-06-20,3.661399306,3.063254861
2017-06-21,3.648213194,2.285136806
2017-06-22,3.07405,3.545811806
2017-06-23,3.646047917,1.505659028
2017-06-24,0.551048611,0.143529167
2017-06-25,0.547795139,0.143678472
2017-06-26,3.606485417,0.813538889
2017-06-27,3.273577083,0.6566875
2017-06-28,3.663129167,0.652354167
2017-06-29,2.889001389,0.672240278
2017-06-30,2.628395833,0.650422917
2017-07-01,0.552466667,0.142740278
2017-07-02,0.550079861,0.14280625
2017-07-03,2.643635417,1.060901389
2017-07-04,2.543976389,1.090878472
2017-07-05,2.895131944,1.792420139
2017-07-06,3.205865278,1.9414375
2017-07-07,3.799027083,2.152909722
2017-07-08,0.557065972,0.143717361
2017-07-09,0.548245139,0.143526389
2017-07-10,3.942951389,1.89583125
2017-07-11,3.453408333,0.834413889
2017-07-12,2.96904375,0.22006875
2017-07-13,2.334957639,0.466231944
2017-07-14,2.250071528,0.252454861
2017-07-15,0.548836806,0.143448611
2017-07-16,0.545654861,0.143315972
2017-07-17,2.879522222,1.578071528
2017-07-18,2.849365278,1.790166667
2017-07-19,3.055915972,2.472396528
2017-07-20,3.830549306,1.805389583
2017-07-21,2.942426389,1.041640972
2017-07-22,0.550390278,0.143322917
2017-07-23,0.545103472,0.143049306
2017-07-24,2.983225694,0.289809722
2017-07-25,2.429936806,0.633003472
2017-07-26,2.700517361,1.154760417
2017-07-27,3.40795,0.712797917
2017-07-28,2.297066667,0.374951389
2017-07-29,0.549540972,0.142947222
2017-07-30,0.548210417,0.143343056
2017-07-31,3.137226389,1.282846528
2017-08-01,3.3015625,0.936047222
2017-08-02,2.593618056,1.022370833
2017-08-03,2.752119444,1.15000625
2017-08-04,2.575777083,1.010878472
2017-08-05,0.542521528,0.142609722
2017-08-06,0.544330556,0.14265625
2017-08-07,2.781613194,1.190165972
2017-08-08,2.324893056,0.14233125
2017-08-09,2.43959375,0.550468056
2017-08-10,2.223675,0.143025694
2017-08-11,2.393659028,0.658558333
2017-08-12,0.549297222,0.143333333
2017-08-13,0.548543056,0.142898611
2017-08-14,2.7527,1.50004375
2017-08-15,2.600570139,0.928742361
2017-08-16,2.793197222,1.129847222
2017-08-17,2.327476389,0.273384722
2017-08-18,2.382401389,0.326452778
2017-08-19,0.55169375,0.142854861
2017-08-20,0.553566667,0.143495833
2017-08-21,2.602933333,0.674884028
2017-08-22,2.652542361,1.495200694
2017-08-23,2.858893056,1.679395833
2017-08-24,3.016894444,1.129457639
2017-08-25,2.715600694,1.319652083
2017-08-26,0.554188889,0.144265972
2017-08-27,0.548752778,0.14334375
2017-08-28,3.80961875,1.839609722
2017-08-29,3.704899306,2.391829861
2017-08-30,3.637078472,1.670894444
2017-08-31,2.95383125,0.318193056
2017-09-01,2.322265972,0.422744444
2017-09-02,0.545800694,0.143274306
2017-09-03,0.547068056,0.142924306
2017-09-04,2.532519444,0.621714583
2017-09-05,2.738596528,1.1521125
2017-09-06,2.687642361,0.228716667
2017-09-07,2.710822222,0.30524375
2017-09-08,2.686252083,0.143610417
2017-09-09,0.894959028,0.143361111
2017-09-10,0.893496528,0.142739583
2017-09-11,2.829361111,0.143688889
2017-09-12,2.756515278,0.142977083
2017-09-13,2.764218056,0.153967361
2017-09-14,2.834443056,0.142968056
2017-09-15,2.703688889,0.143233333
2017-09-16,0.894363194,0.143521528
2017-09-17,0.891501389,0.142622917
2017-09-18,2.903972222,0.142875
2017-09-19,2.727645833,0.142816667
2017-09-20,2.74224669,0.229489199
2017-09-21,2.7363625,0.316965278
2017-09-22,2.670129167,0.242113889
2017-09-23,0.894726389,0.143133333
2017-09-24,0.89421875,0.1434
2017-09-25,2.819294444,0.237414583
2017-09-26,2.693264583,0.222007639
2017-09-27,2.811304167,0.629478472
2017-09-28,2.741361111,0.624916667
2017-09-29,2.789592361,1.072134722
2017-09-30,0.826113194,0.143017361
2017-10-01,0.83126875,0.142997222
2017-10-02,2.771420139,0.141480556
2017-10-03,2.679922917,0.142711806
2017-10-04,2.730816667,0.141710417
2017-10-05,2.680093056,0.141689583
2017-10-06,2.399488889,0.1430375
2017-10-07,0.564183333,0.143779861
2017-10-08,0.561935417,0.143906944
2017-10-09,2.594222917,0.142748611
2017-10-10,2.473538194,0.142156944
2017-10-11,2.472216667,0.141665972
2017-10-12,2.44669375,0.142178472
2017-10-13,2.404978472,0.330609722
2017-10-14,0.561168056,0.143070139
2017-10-15,0.562484028,0.14345625
2017-10-16,2.725701389,1.208370833
2017-10-17,2.377392361,0.141638889
2017-10-18,2.441906944,0.436038194
2017-10-19,2.480321528,0.665299306
2017-10-20,2.344784722,0.143492361
2017-10-21,0.5551125,0.143202778
2017-10-22,0.559353472,0.144040278
2017-10-23,2.592060417,0.143302083
2017-10-24,2.459640278,0.141140278
2017-10-25,2.453734028,0.141784028
2017-10-26,2.466686111,0.143872917
2017-10-27,2.294185417,0.142542361
2017-10-28,0.558770833,0.14339375
2017-10-29,0.561265278,0.1434375
2017-10-30,2.695490278,0.143766667
2017-10-31,2.574225,0.14319375
2017-11-01,2.554815972,0.141975694
2017-11-02,2.565363194,0.143536111
2017-11-03,2.464442361,0.1431125
2017-11-04,0.555261806,0.1439125
2017-11-05,0.556220139,0.143786806
2017-11-06,2.714675,0.143359722
2017-11-07,2.622815278,0.143702083
2017-11-08,2.232629861,0.142110417
2017-11-09,2.123306944,0.144386806
2017-11-10,2.153334722,0.142363194
2017-11-11,0.563552778,0.144152083
2017-11-12,0.670788889,0.143858333
2017-11-13,2.779070833,0.141427083
2017-11-14,2.752641667,0.142186111
2017-11-15,2.741561806,0.140792361
2017-11-16,2.573186806,0.14130625
2017-11-17,2.694014583,0.143579167
2017-11-18,0.589229167,0.144079167
2017-11-19,0.718019444,0.144330556
2017-11-20,2.7604,0.14405625
2017-11-21,2.669640278,0.142095833
2017-11-22,2.600240278,0.143785417
2017-11-23,2.61355625,0.143329167
2017-11-24,2.534923611,0.143916667
2017-11-25,0.934515278,0.144577083
2017-11-26,2.963472917,0.143834722
2017-11-27,2.77898125,0.140211806
2017-11-28,2.687893781,0.139686932
2017-11-29,3.006488889,0.140813889
2017-11-30,2.832849306,0.1441875
2017-12-01,2.910030556,0.14444375
2017-12-02,1.045278472,0.144459722
2017-12-03,1.071994444,0.144085417
2017-12-04,2.792163751,0.143878237
2017-12-05,2.750865278,0.14248125
2017-12-06,2.579136111,0.142190278
2017-12-07,2.576689583,0.1419
2017-12-08,2.723013194,0.142348611
2017-12-09,1.101822222,0.144236806
2017-12-10,1.124933333,0.14409375
2017-12-11,3.059239525,0.142570531
2017-12-12,2.917395139,0.142361111
2017-12-13,2.833163294,0.144485694
2017-12-14,2.88345,0.144253472
2017-12-15,2.826409722,0.144513889
2017-12-16,1.019204167,0.14441875
2017-12-17,1.0399125,0.144225694
2017-12-18,2.8194,0.144204861
2017-12-19,2.717600694,0.144461111
2017-12-20,2.594868056,0.144249306
2017-12-21,2.665257639,0.144147222
2017-12-22,2.647574306,0.144498611
2017-12-23,0.556245139,0.144113889
2017-12-24,0.581116667,0.144005556
2017-12-25,0.672280556,0.14385
2017-12-26,0.693238194,0.14380625
2017-12-27,2.725240278,0.144439583
2017-12-28,2.893634722,0.144032639
2017-12-29,3.092677582,0.14365995
