DateTime,Humidifier power [kW],HV light Power [kW]
2016-01-31,3.34039542847435,10.580753572103879
2016-02-29,24.984208626771945,11.512787297807739
2016-03-31,35.649184204555084,11.696326555371234
2016-04-30,14.450824857161619,12.456310291501845
2016-05-31,7.434656092888915e-06,10.94514778649129
2016-06-30,1.4066002485775666e-05,12.103485971967181
2016-07-31,1.2741767203883521e-05,12.205159800634842
2016-08-31,4.933063554110437e-06,10.411887524129037
2016-09-30,3.2912382185064417e-06,8.84368191932676
2016-10-31,1.2053155369511402e-06,11.693940394222695
2016-11-30,12.862512613679513,9.466944424498307
2016-12-31,5.953683339202519,7.4569163603769475
