DateTime,HVAC Actual [kW],Chiller Power [kW]
2016-01-31,2.741076107629168,0.0051510447621982
2016-02-29,4.096599702437576,1.3417656638355422e-05
2016-03-31,6.415679744981795,3.0137171930660678e-06
2016-04-30,7.326766011556362,0.20956033216349093
2016-05-31,7.494655709054369,2.166299907281869
2016-06-30,7.276592916681239,3.7729025878967657
2016-07-31,7.111888212473588,5.290856091866833
2016-08-31,4.461837700435384,4.653714785086367
2016-09-30,3.8901564099327612,4.708066479751917
2016-10-31,3.36989563303254,4.363348590273057e-06
2016-11-30,2.644539243982872,2.743124142691156e-06
2016-12-31,2.361054974471055,7.5286647284243e-06
