Time,Humidifier power [kW],HV light Power [kW]
2020-01-31,11.577368556580184,8.735002645723254
2020-02-29,30.973832815037877,8.42317232136183
2020-03-31,32.5025512935568,7.877352801378795
2020-04-30,30.856299762474595,8.261680746229896
2020-05-31,20.03197320135463,7.522042794240723
2020-06-30,4.239078663086334e-06,8.621928889868743
2020-07-31,4.797062173652766e-06,7.524212116748007
2020-08-31,5.424230246109721e-06,6.682886301421652
2020-09-30,4.601624779873177e-06,11.45745741535334
2020-10-31,5.257319308600464e-06,11.574301266308483
2020-11-30,6.091322164057227e-06,11.608865565514025
2020-12-31,4.8062866013702254e-06,10.266783778579173
