DateTime,Date,HVAC Actual [kW],Chiller Power [kW]
2018-01-31,2018-01-012018-01-022018-01-032018-01-042018-01-052018-01-062018-01-072018-01-082018-01-092018-01-102018-01-112018-01-122018-01-132018-01-142018-01-152018-01-162018-01-172018-01-182018-01-192018-01-202018-01-212018-01-222018-01-232018-01-242018-01-252018-01-262018-01-272018-01-282018-01-292018-01-302018-01-31,69.60357489069297,4.4443607629435355
2018-02-28,2018-02-012018-02-022018-02-032018-02-042018-02-052018-02-062018-02-072018-02-082018-02-092018-02-102018-02-112018-02-122018-02-132018-02-142018-02-152018-02-162018-02-172018-02-182018-02-192018-02-202018-02-212018-02-222018-02-232018-02-242018-02-252018-02-262018-02-272018-02-28,65.29919510925518,4.051254094122973
2018-03-31,2018-03-012018-03-022018-03-032018-03-042018-03-052018-03-062018-03-072018-03-082018-03-092018-03-102018-03-112018-03-122018-03-132018-03-142018-03-152018-03-162018-03-172018-03-182018-03-192018-03-202018-03-212018-03-222018-03-232018-03-242018-03-252018-03-262018-03-272018-03-282018-03-292018-03-302018-03-31,66.68181918212706,4.467575572615844
2018-04-30,2018-04-012018-04-022018-04-032018-04-042018-04-052018-04-062018-04-072018-04-082018-04-092018-04-102018-04-112018-04-122018-04-132018-04-142018-04-152018-04-162018-04-172018-04-182018-04-192018-04-202018-04-212018-04-222018-04-232018-04-242018-04-252018-04-262018-04-272018-04-282018-04-292018-04-30,57.15799294980889,9.857514167146253
2018-05-31,2018-05-012018-05-022018-05-032018-05-042018-05-052018-05-062018-05-072018-05-082018-05-092018-05-102018-05-112018-05-122018-05-132018-05-142018-05-152018-05-162018-05-172018-05-182018-05-192018-05-202018-05-212018-05-222018-05-232018-05-242018-05-252018-05-262018-05-272018-05-282018-05-292018-05-302018-05-31,64.23852946477733,25.029984363906486
2018-06-30,2018-06-012018-06-022018-06-032018-06-042018-06-052018-06-062018-06-072018-06-082018-06-092018-06-102018-06-112018-06-122018-06-132018-06-142018-06-152018-06-162018-06-172018-06-182018-06-192018-06-202018-06-212018-06-222018-06-232018-06-242018-06-252018-06-262018-06-272018-06-282018-06-292018-06-30,74.7822584535926,20.382711904876967
2018-07-31,2018-07-012018-07-022018-07-032018-07-042018-07-052018-07-062018-07-072018-07-082018-07-092018-07-102018-07-112018-07-122018-07-132018-07-142018-07-152018-07-162018-07-172018-07-182018-07-192018-07-202018-07-212018-07-222018-07-232018-07-242018-07-252018-07-262018-07-272018-07-282018-07-292018-07-302018-07-31,84.74872260603023,48.97315102901937
2018-08-31,2018-08-012018-08-022018-08-032018-08-042018-08-052018-08-062018-08-072018-08-082018-08-092018-08-102018-08-112018-08-122018-08-132018-08-142018-08-152018-08-162018-08-172018-08-182018-08-192018-08-202018-08-212018-08-222018-08-232018-08-242018-08-252018-08-262018-08-272018-08-282018-08-292018-08-302018-08-31,74.39165812622228,34.8840729249946
2018-09-30,2018-09-012018-09-022018-09-032018-09-042018-09-052018-09-062018-09-072018-09-082018-09-092018-09-102018-09-112018-09-122018-09-132018-09-142018-09-152018-09-162018-09-172018-09-182018-09-192018-09-202018-09-212018-09-222018-09-232018-09-242018-09-252018-09-262018-09-272018-09-282018-09-292018-09-30,56.32839236111111,16.319143055555553
2018-10-31,2018-10-012018-10-022018-10-032018-10-042018-10-052018-10-062018-10-072018-10-082018-10-092018-10-102018-10-112018-10-122018-10-132018-10-142018-10-152018-10-162018-10-172018-10-182018-10-192018-10-202018-10-212018-10-222018-10-232018-10-242018-10-252018-10-262018-10-272018-10-282018-10-292018-10-302018-10-31,64.1847107651038,9.651387017436434
2018-11-30,2018-11-012018-11-022018-11-032018-11-042018-11-052018-11-062018-11-072018-11-082018-11-092018-11-102018-11-112018-11-122018-11-132018-11-142018-11-152018-11-162018-11-172018-11-182018-11-192018-11-202018-11-212018-11-222018-11-232018-11-242018-11-252018-11-262018-11-272018-11-282018-11-292018-11-30,63.419274305555554,4.550077083333332
2018-12-31,2018-12-012018-12-022018-12-032018-12-042018-12-052018-12-062018-12-072018-12-082018-12-092018-12-102018-12-112018-12-122018-12-132018-12-142018-12-152018-12-162018-12-172018-12-182018-12-192018-12-202018-12-212018-12-222018-12-232018-12-242018-12-252018-12-262018-12-272018-12-282018-12-292018-12-302018-12-31,53.24758611111111,4.474999999999999
