Date,Humidifier power [kW],HV light Power [kW]
2019-01-01,0.009850694444444445,0.8289409722222222
2019-01-02,0.009453472222222222,2.5890694444444446
2019-01-03,0.009630555555555555,2.7933069444444447
2019-01-04,0.010524305555555556,2.636034027777778
2019-01-05,0.009171527777777777,0.8428673611111112
2019-01-06,0.009434722222222223,0.8333145833333333
2019-01-07,0.009610416666666666,3.8991756944444447
2019-01-08,0.009545833333333333,4.403640972222222
2019-01-09,0.00992013888888889,4.225844444444444
2019-01-10,0.009317361111111111,4.431050694444444
2019-01-11,0.009145340751043115,3.887413769123783
2019-01-12,0.008783333333333334,0.8052930555555556
2019-01-13,0.008903472222222222,0.8013090277777778
2019-01-14,0.3496388888888889,4.155531944444444
2019-01-15,2.851583333333333,4.404066666666666
2019-01-16,0.0091875,4.097558333333334
2019-01-17,0.009138888888888889,4.449393055555555
2019-01-18,0.008663194444444444,3.4380104166666663
2019-01-19,0.009009722222222223,0.7503826388888888
2019-01-20,0.009286805555555555,0.735075
2019-01-21,0.0097625,3.6798222222222225
2019-01-22,0.00984236111111111,3.7172006944444447
2019-01-23,0.01014513888888889,3.535328472222222
2019-01-24,0.009769444444444443,4.125649999999999
2019-01-25,0.009398611111111111,3.739995138888889
2019-01-26,0.009390277777777779,0.8122083333333333
2019-01-27,0.009065277777777778,0.7999986111111111
2019-01-28,0.009277777777777777,4.333740972222222
2019-01-29,0.009609027777777777,4.365367361111111
2019-01-30,0.009670138888888888,3.9732708333333333
2019-01-31,0.009535416666666666,4.107963194444444
2019-02-01,0.009359027777777779,3.828509027777778
2019-02-02,0.00989236111111111,0.8560833333333333
2019-02-03,0.009509027777777778,0.840395138888889
2019-02-04,0.009222222222222222,3.6821701388888886
2019-02-05,0.0087336578581363,4.570874826147427
2019-02-06,0.3419902777777778,3.9241548611111114
2019-02-07,0.0,4.09244375
2019-02-08,0.0,3.7292569444444443
2019-02-09,0.0,0.7172423611111111
2019-02-10,0.0,0.9122208333333333
2019-02-11,0.0,3.8277388888888892
2019-02-12,0.0,3.73525625
2019-02-13,0.0,3.787958333333333
2019-02-14,0.0,3.7939034722222225
2019-02-15,0.0,3.334791666666667
2019-02-16,0.0,0.69771875
2019-02-17,0.0,0.7437548611111111
2019-02-18,0.0,3.654011111111111
2019-02-19,0.0,3.657263888888889
2019-02-20,0.0,3.627444444444445
2019-02-21,0.0,3.909328472222222
2019-02-22,0.0,3.6716208333333333
2019-02-23,0.0,0.6597034722222221
2019-02-24,0.0,0.6548729166666666
2019-02-25,0.0,3.604278472222222
2019-02-26,0.0,3.820727777777778
2019-02-27,0.0,3.5822291666666666
2019-02-28,0.0,4.039735416666667
2019-03-01,0.0,3.3902173611111106
2019-03-02,0.0,0.6738541666666666
2019-03-03,0.0,0.7739513888888889
2019-03-04,0.0,3.129673611111111
2019-03-05,1.8372368055555557,3.012384722222222
2019-03-06,0.009122222222222223,3.6590472222222226
2019-03-07,0.009016666666666666,3.590053472222222
2019-03-08,3.36376875,2.879151388888889
2019-03-09,0.009554861111111111,0.6637722222222222
2019-03-10,0.009638194444444444,0.6516444444444445
2019-03-11,6.650183333333333,3.375197222222222
2019-03-12,6.477809027777778,3.56785
2019-03-13,2.6221625,3.5825388888888887
2019-03-14,0.009099999999999999,3.688004861111111
2019-03-15,0.009828472222222223,3.594105555555555
2019-03-16,0.009447916666666667,0.6422131944444445
2019-03-17,0.009502777777777777,0.5407118055555555
2019-03-18,0.011,0.208
2019-03-19,0.011,0.208
2019-03-20,0.010748611111111112,1.3771159722222222
2019-03-21,0.009064583333333332,3.5544708333333332
2019-03-22,0.009338194444444444,3.1437236111111115
2019-03-23,0.009059027777777777,0.7640444444444444
2019-03-24,0.00951111111111111,0.5776743055555555
2019-03-25,6.959289583333334,3.5476256944444446
2019-03-26,0.009654166666666667,3.5208993055555555
2019-03-27,0.009647916666666666,3.689559027777778
2019-03-28,0.009963194444444445,3.9675124999999998
2019-03-29,0.009298611111111112,3.290061111111111
2019-03-30,0.009306944444444444,0.5733229166666667
2019-03-31,0.009224475018102824,0.5480789283128168
2019-04-01,5.704709722222222,3.0728479166666665
2019-04-02,0.00934236111111111,3.3554298611111113
2019-04-03,0.00982638888888889,3.3505034722222224
2019-04-04,0.009398611111111111,3.808574305555555
2019-04-05,0.00941875,4.646919444444444
2019-04-06,0.009200694444444445,0.6037993055555556
2019-04-07,0.009418055555555555,0.5510722222222222
2019-04-08,0.009631944444444445,3.3311486111111113
2019-04-09,0.009933333333333334,3.46053125
2019-04-10,0.09639722222222223,3.5002298611111113
2019-04-11,7.210465972222222,3.9323618055555554
2019-04-12,5.308001388888889,3.3588756944444444
2019-04-13,0.008739583333333332,0.5589131944444444
2019-04-14,0.009072916666666667,0.5921645833333333
2019-04-15,4.2555375,3.2402409722222223
2019-04-16,2.1468125,3.147761111111111
2019-04-17,0.008677083333333334,3.624499305555555
2019-04-18,0.00899236111111111,3.5161944444444444
2019-04-19,0.008280555555555555,1.393601388888889
2019-04-20,0.008440277777777777,0.5449138888888888
2019-04-21,0.0086,0.5393631944444445
2019-04-22,1.27145,0.5856847222222222
2019-04-23,1.709698611111111,3.00255
2019-04-24,0.008747916666666666,3.228309722222222
2019-04-25,0.00850486111111111,3.11598125
2019-04-26,0.008498611111111111,2.586796527777778
2019-04-27,0.008622222222222222,0.5683333333333334
2019-04-28,0.008416666666666666,0.5434423611111111
2019-04-29,0.008852083333333333,3.2561472222222223
2019-04-30,0.008783333333333334,3.2631361111111112
2019-05-01,0.008829166666666667,3.4228006944444442
