DateTime,Power[kW],PV panels power [kW],Battery system power
2017-01-31,72.45115580835488,3.8927663213965213,5.898287153836008e-05
2017-02-28,65.05723625287695,3.8703688644699654,3.1627662650997515
2017-03-31,54.60598482846418,13.792390692833004,1.7804682641384337
2017-04-30,62.14590189457293,17.647123837499667,5.475839711821733
2017-05-31,39.83020862000751,18.764880172160844,6.12365862049689
2017-06-30,25.030881151117033,18.881797938268623,4.60768419967192
2017-07-31,17.168042369358673,16.052407125574224,5.567041711952393e-05
2017-08-31,17.393547973305157,16.42924696238664,5.981161127647512e-05
2017-09-30,16.76871513900954,13.086339023869128,1.1408048826250934
2017-10-31,14.275207217624171,7.20044879481957,1.9557644514660937
2017-11-30,20.269185640879183,3.861900970870625,1.1525223512438538
2017-12-31,8.824531678244146,1.1861983215652565,0.08782197583358191
