Date,Power[kW],PV panels power [kW]
2021-01-01,1.5881944444444445,-0.5364618055555556
2021-01-02,2.085451388888889,-0.1774784722222222
2021-01-03,2.2040625,-0.0782111111111111
2021-01-04,7.660131944444444,-0.07103680555555555
2021-01-05,10.71263888888889,-0.09706805555555555
2021-01-06,8.584479166666666,-0.18139166666666667
2021-01-07,9.536319444444445,-0.2369888888888889
2021-01-08,10.069145833333334,-0.23880763888888887
2021-01-09,0.7998194444444444,-1.558807638888889
2021-01-10,1.9049375000000002,-0.3967694444444444
2021-01-11,7.496194444444445,-0.13187361111111112
2021-01-12,8.18763888888889,-0.6805611111111112
2021-01-13,5.5124513888888895,-0.8120979166666668
2021-01-14,6.3904097222222225,-0.2689263888888889
2021-01-15,9.215076388888889,-0.11754930555555555
2021-01-16,2.2429652777777775,-0.13880902777777776
2021-01-17,1.9546249999999998,-0.375
2021-01-18,9.268645833333334,-0.31561319444444447
2021-01-19,8.707395833333333,-0.08746527777777778
2021-01-20,7.7983472222222225,-0.28892708333333333
2021-01-21,10.849291666666666,-0.66169375
2021-01-22,12.324076388888887,-1.0683354166666668
2021-01-23,1.6943958333333333,-0.8544270833333333
2021-01-24,1.8742291666666666,-0.6873374999999999
2021-01-25,10.866701388888888,-1.8485840277777776
2021-01-26,14.240041666666666,-1.0785618055555555
2021-01-27,7.890750000000001,-0.08362222222222222
2021-01-28,7.309145833333333,-0.13558402777777775
2021-01-29,6.428055555555555,-0.47171111111111114
2021-01-30,2.209076388888889,-0.40700416666666667
2021-01-31,0.8257986111111112,-1.615320138888889
2021-02-01,14.639020833333332,-0.15047083333333333
2021-02-02,6.664875,-0.16422222222222221
2021-02-03,6.310868055555555,-0.1443590277777778
2021-02-04,6.277784722222222,-0.778751388888889
2021-02-05,5.327597222222222,-0.4373201388888889
2021-02-06,2.074798611111111,-0.2212652777777778
2021-02-07,2.3046666666666664,-0.11848055555555555
2021-02-08,16.886564171122995,-0.26797192513368984
2021-02-09,8.347709923664121,-0.05214694656488549
2021-02-10,13.150611111111111,-1.4212173611111112
2021-02-11,11.739416666666665,-2.397429166666667
2021-02-12,12.960652777777778,-2.495660416666667
2021-02-13,0.16287500000000002,-2.4411444444444443
2021-02-14,0.7651180555555556,-1.7997118055555557
2021-02-15,14.839131944444443,-0.2706895833333333
2021-02-16,5.0715208333333335,-0.8459194444444444
2021-02-17,4.799291666666667,-0.9575590277777778
2021-02-18,8.581347222222222,-0.6515472222222222
2021-02-19,10.043222222222223,-1.3404826388888889
2021-02-20,0.08744444444444448,-2.229527083333333
2021-02-21,-0.09233333333333334,-2.379492361111111
2021-02-22,6.486895833333333,-1.1274395833333333
2021-02-23,7.937083333333333,-2.348509722222222
2021-02-24,4.547041666666667,-2.5195013888888886
2021-02-25,4.910263888888888,-1.513138888888889
2021-02-26,3.8706319444444444,-2.5054215277777776
2021-02-27,1.2886458333333335,-1.0698263888888888
2021-02-28,-0.3150486111111111,-2.6211125
2021-03-01,10.090340277777777,-1.7229145833333332
2021-03-02,5.537194444444444,-2.9942618055555554
2021-03-03,4.8332500000000005,-1.9441159722222223
2021-03-04,5.274277777777778,-0.19732638888888887
2021-03-05,11.693770833333332,-3.039909722222222
2021-03-06,0.12458333333333332,-2.3570166666666665
2021-03-07,0.6987083333333334,-1.7596805555555557
2021-03-08,11.254986111111112,-2.5089916666666667
2021-03-09,7.9220902777777775,-0.7442354166666667
2021-03-10,9.729166666666666,0.006
2021-03-11,6.9510000000000005,0.004740277777777778
2021-03-12,11.223270833333334,-0.2865034722222222
2021-03-13,0.26871527777777776,-1.9672840277777779
2021-03-14,1.2806458333333333,-0.9935861111111111
2021-03-15,10.948326388888889,-1.5578041666666667
2021-03-16,8.400791666666667,-0.791025
2021-03-17,9.183604166666667,-1.101495138888889
2021-03-18,11.210513888888888,-0.9011312499999999
2021-03-19,10.698215277777779,-3.7094326388888885
