Time,HVAC Actual [kW],Chiller Power [kW]
2021-01-31,10.572931414108055,3.066739121672193e-06
2021-02-28,8.303097521161355,0.25529900417390067
2021-03-31,6.336299395328947,0.574363667820425
2021-04-30,5.907966689601331,0.030456529316385837
2021-05-31,6.036646616900686,0.8737677841821069
2021-06-30,8.342662461982083,10.031164810571905
2021-07-31,8.112644960360859,8.13796345393531
2021-08-31,7.435716242499705,3.1556921681158827
2021-09-30,8.300393256948784,4.640363954403178
2021-10-31,7.318058280069302,0.3233642692903885
2021-11-30,6.642601557414823,2.5528823535653813e-06
2021-12-31,7.41244427368029,1.5576479900431966e-05
