Time,Power[kW],PV panels power [kW],Battery system power
2020-01-31,32.95692542959258,1.8455077168967817,17.55886011913525
2020-02-29,53.01243470099246,3.9622733854838117,21.61734962781459
2020-03-31,50.02913042686534,16.895856497907964,20.700198358315557
2020-04-30,65.5082469031924,24.092098962926404,21.43772399961739
2020-05-31,41.90095785859847,24.6163916354749,19.166236889933273
2020-06-30,20.548024451617817,19.177728160415192,0.9413723176676599
2020-07-31,18.677885908608374,17.33172114242988,3.676583108429217e-07
2020-08-31,40.637240358951416,16.667314232792503,4.063623780248729e-07
2020-09-30,19.076215556118836,14.953740215744283,3.7061320381644546e-07
2020-10-31,14.039671165386235,4.154432616124724,4.2335391933672034e-07
2020-11-30,24.62363497446745,3.6255834989216593,4.744050071821284e-07
2020-12-31,32.92275294920333,1.2385131921790449,1.7559125713823294
