Time,HVAC Actual [kW],Chiller Power [kW]
2018-01-31,4.834107048656153,5.110362340191273e-06
2018-02-28,4.2995479580508436,8.893011912975496e-05
2018-03-31,4.59035869517116,5.3365853104191024e-05
2018-04-30,4.653451546247657,1.4402465660462338
2018-05-31,5.376732569020773,4.785996158732929
2018-06-30,6.227581030698611,3.9006207325949944
2018-07-31,6.294983070428936,11.121463358180423
2018-08-31,6.085867326171457,7.649624296811997
2018-09-30,5.024336868112892,2.877765327501807
2018-10-31,4.884515715537402,1.2737794443560875
2018-11-30,4.566243803646394,0.06571261114180509
2018-12-31,3.370037692339998,3.225550635961923e-06
