Time,HVAC Actual [kW],Chiller Power [kW]
2019-01-31,4.1526603408717735,3.3412965280573705e-05
2019-02-28,4.179595864177179,0.2247815405193807
2019-03-31,4.371446592411527,0.11394645526730145
2019-04-30,4.452818861374876,1.2811363214027247
2019-05-31,4.498849248013005,0.8391093306004985
2019-06-30,4.888054728657861,5.923219348695838
2019-07-31,5.9769748966404155,12.417630981556515
2019-08-31,5.096426338657938,6.9860655447538464
2019-09-30,4.550640360955865,1.1987948030028166
2019-10-31,4.802358264292419,0.1702385460127003
2019-11-30,4.098578981415841,3.1607151780562894e-06
2019-12-31,4.0856517365568195,3.0256627721023747e-06
