Time,Humidifier power [kW],HV light Power [kW]
2019-01-31,0.7294739323063706,9.863465892408712
2019-02-28,0.08431304845647485,9.590807518788564
2019-03-31,13.718053630979284,7.229952613258644
2019-04-30,16.73194912776529,7.7874593106290755
2019-05-31,4.092699725858816,7.967675144618866
2019-06-30,1.334818354128562e-06,7.411953979826549
2019-07-31,1.7933180190420902e-06,6.96457218600151
2019-08-31,1.9009427262662693e-06,7.2076198918187515
2019-09-30,1.6550120789872751e-06,8.609995218957385
2019-10-31,1.498438924855763,10.5371789600539
2019-11-30,0.9420486765268735,11.119876251845453
2019-12-31,11.888358522454432,7.773083192138455
