Time,HVAC Actual [kW],Chiller Power [kW]
2020-01-31,4.536660887168888,3.750960234075771e-06
2020-02-29,4.652138145555432,2.8565000367231893e-06
2020-03-31,4.775347149671088,2.7329860125235362e-06
2020-04-30,5.3374159289536856,2.388764080604628
2020-05-31,5.262770979490503,3.451865254472452
2020-06-30,6.002313046004329,6.291741198263862
2020-07-31,5.865937623533488,3.6888761455294277
2020-08-31,7.210708738053119,24.261213042714346
2020-09-30,5.826066417892798,3.905288275972714
2020-10-31,7.832777231588056,0.12356175487541571
2020-11-30,7.54888270751491,0.08259884519286644
2020-12-31,8.653144087701122,2.5911612034246962e-06
