DateTime,Power[kW],PV panels power [kW],Battery system power
2016-01-31,39.7448187948723,2.308517317350173,3.794912846037778
2016-02-29,56.02369405506975,8.802169516631734,16.788806891833357
2016-03-31,86.21984659914325,12.659842440171188,12.374347937463844
2016-04-30,43.08233577825857,17.952213332803364,6.973086340018177
2016-05-31,24.9985731415825,18.659990147823912,4.455013271441854
2016-06-30,23.931436666630045,14.643778813593654,2.538976003188758
2016-07-31,26.10695960096339,17.228311128685885,0.00011412878446375474
2016-08-31,21.892303637887732,17.95535479203104,6.440446401131343
2016-09-30,14.834937404276324,15.547116708305094,4.833071361874349e-05
2016-10-31,18.83550367737203,9.137173626400012,6.769668084655671
2016-11-30,43.2224261404936,3.922326533490866,24.120339525389124
2016-12-31,18.29552964536945,2.861528365993217,3.621076082070404
