Time,Power[kW],PV panels power [kW],Battery system power
2019-01-31,17.075032377840596,2.806646757464367,9.883169230417476
2019-02-28,12.900185124248246,9.839189538488904,8.959226931232976
2019-03-31,33.1452996615369,8.820245199798174,8.854407236576249
2019-04-30,30.861321273891882,19.49831011215464,14.248005702285454
2019-05-31,22.558936073632974,17.976591822724387,10.729348244619784
2019-06-30,22.53606820192929,20.01011772036537,5.735396029889553
2019-07-31,23.089620437179526,17.333224099132007,10.9631849329218
2019-08-31,22.746574747590508,17.756350134511827,13.555669875300437
2019-09-30,16.6024312234567,13.096318217082645,9.844998310481877
2019-10-31,12.884710176897338,6.029738714579002,8.18340651151777
2019-11-30,14.396391047709216,4.481632925088309,8.2573702728925
2019-12-31,26.93402365095554,2.216815071218528,12.554282512512836
