Date,HVAC Actual [kW],Chiller Power [kW]
2021-01-01,0.7998395833333334,0.1442513888888889
2021-01-02,0.95154375,0.14482499999999998
2021-01-03,0.9905590277777777,0.14416597222222222
2021-01-04,5.230176388888888,0.14474652777777777
2021-01-05,5.200727777777778,0.14433888888888888
2021-01-06,5.206632638888889,0.14510277777777777
2021-01-07,5.21190625,0.14492013888888888
2021-01-08,5.178075694444445,0.1445833333333333
2021-01-09,1.07978125,0.14464930555555555
2021-01-10,1.0312291666666666,0.1443222222222222
2021-01-11,5.209120138888888,0.1428548611111111
2021-01-12,4.328804861111111,0.14531597222222223
2021-01-13,4.137854166666667,0.14451875
2021-01-14,4.235228472222222,0.14443958333333334
2021-01-15,4.229817361111111,0.14511666666666667
2021-01-16,1.1031208333333333,0.14469097222222221
2021-01-17,1.0267611111111112,0.14411805555555554
2021-01-18,4.124840972222222,0.1445548611111111
2021-01-19,4.004288194444444,0.1442284722222222
2021-01-20,3.979658333333333,0.14435902777777776
2021-01-21,3.9796402777777775,0.14436388888888887
2021-01-22,4.0902972222222225,0.14404861111111109
2021-01-23,1.0833673611111112,0.14464652777777778
2021-01-24,1.0887618055555555,0.14495277777777776
2021-01-25,4.127664583333334,0.14433680555555556
2021-01-26,4.069672916666667,0.14463125
2021-01-27,3.4872798611111113,0.14481388888888888
2021-01-28,3.4696687500000003,0.144775
2021-01-29,3.493851388888889,0.1445645833333333
2021-01-30,1.078473611111111,0.1447826388888889
2021-01-31,1.0898979166666667,0.1442826388888889
2021-02-01,3.620199305555556,0.14464305555555554
2021-02-02,4.00455,0.14526805555555555
2021-02-03,3.279097222222222,0.1447159722222222
2021-02-04,3.285295138888889,0.14453888888888888
2021-02-05,3.500123611111111,0.1443076388888889
2021-02-06,0.9815472222222223,0.1441125
2021-02-07,1.0980881944444445,0.1448201388888889
2021-02-08,3.895707219251337,0.14433556149732618
2021-02-09,2.309841603053435,0.14599236641221375
2021-02-10,3.86371875,0.14620833333333333
2021-02-11,3.8675381944444447,0.1453958333333333
2021-02-12,3.558304861111111,0.14500763888888887
2021-02-13,1.1111291666666667,0.14530833333333334
2021-02-14,1.106357638888889,0.14475763888888887
2021-02-15,3.572394444444444,0.14400763888888887
2021-02-16,3.4597784722222222,0.1437111111111111
2021-02-17,3.3984319444444444,0.14445625
2021-02-18,3.762675,0.14397430555555554
2021-02-19,3.926013888888889,0.14420624999999998
2021-02-20,0.8884319444444445,0.14389652777777776
2021-02-21,0.8853611111111112,0.14333680555555553
2021-02-22,3.850322916666667,0.14416041666666665
2021-02-23,4.132936111111111,0.4423243055555556
2021-02-24,4.5244326388888885,0.63759375
2021-02-25,3.256213888888889,0.14399652777777777
2021-02-26,3.152259722222222,0.22489513888888887
2021-02-27,1.0682125,0.14393333333333333
2021-02-28,1.0142416666666667,0.1437361111111111
2021-03-01,3.297465972222222,0.14379722222222222
2021-03-02,3.588857638888889,0.23238263888888888
2021-03-03,3.3101951388888886,0.14360416666666667
2021-03-04,3.029697916666667,0.14431597222222223
2021-03-05,3.324227777777778,0.14400694444444442
2021-03-06,1.0641993055555554,0.1439388888888889
2021-03-07,1.0524263888888887,0.14414652777777778
2021-03-08,3.363903472222222,0.14405416666666665
2021-03-09,3.3772131944444443,0.1445520833333333
2021-03-10,3.281223611111111,0.14403888888888888
2021-03-11,3.353091666666667,0.14340416666666667
2021-03-12,3.3319881944444445,0.14414305555555554
2021-03-13,0.9455798611111111,0.1438659722222222
2021-03-14,0.9667680555555556,0.1439263888888889
2021-03-15,3.2740694444444443,0.1427923611111111
2021-03-16,3.326197916666667,0.14490069444444442
2021-03-17,3.250161805555556,0.14376041666666667
2021-03-18,3.337090972222222,0.14425
2021-03-19,3.212188194444445,0.14234652777777776
2021-03-20,1.0252972222222223,0.14443263888888888
2021-03-21,0.9484784722222221,0.14399652777777777
2021-03-22,3.3207625000000003,0.14396527777777776
2021-03-23,3.2604208333333338,0.1438236111111111
2021-03-24,3.2327208333333335,0.1434097222222222
2021-03-25,3.1899097222222226,0.1432986111111111
2021-03-26,3.185552083333333,0.1435284722222222
2021-03-27,0.9483784722222222,0.14399930555555554
2021-03-28,0.9446002896451846,0.14467559739319333
2021-03-29,3.263677083333333,0.49442638888888885
2021-03-30,3.2815270833333336,1.0054375
2021-03-31,3.1252479166666665,1.1388777777777777
2021-04-01,3.0522881944444444,0.1428659722222222
2021-04-02,3.1606291666666664,0.1438284722222222
2021-04-03,0.9358701388888889,0.14323819444444444
2021-04-04,0.9406826388888889,0.14386944444444444
2021-04-05,3.3950055555555556,0.14370555555555553
2021-04-06,3.397785464709993,0.14242697414395528
2021-04-07,3.4520553221288512,0.1435609243697479
2021-04-08,3.3560461215932915,0.14377009084556253
2021-04-09,3.3212545454545457,0.14294825174825174
