Time,Power[kW],PV panels power [kW],Battery system power
2018-01-31,11.41133423768021,1.6477750349882538,1.4717577405867068
2018-02-28,12.174744111570611,12.985533238402171,0.7785369464709385
2018-03-31,11.756042331831775,10.449203449520658,6.632477260422793e-05
2018-04-30,15.034765771391442,15.566323317414048,0.4711005239254768
2018-05-31,22.431787358982007,23.0243471252226,1.1929572870748466
2018-06-30,25.9706376102898,17.055795305083297,5.510908318680234
2018-07-31,35.59593434197756,21.727654823496973,4.8549817622924
2018-08-31,32.18665228615428,16.143493013521816,5.693221384311524
2018-09-30,29.92941165855156,16.144923375721188,14.208325810539543
2018-10-31,18.22123011671186,10.746194086951386,5.00178043508233
2018-11-30,14.686918269479674,4.747057314008214,4.419013316361345
2018-12-31,12.416361990577855,1.729633992201736,5.1281567233495045
